,data,target
415,"This is how one explains that, as members <BOS> of the Congregation <EOS> for Bishops, the Pope replaced Cardinal Burke with Wuerl and immediately appointed Cupich right after he was made a cardinal. ",1
416,I’m sure President Trump is <BOS> deeply disappointed <EOS> in not being able to enter Tower Hamlets. ,0
417,"It <BOS> is not immediately clear how and when the documents will be released, but by Monday evening, intelligence agencies said they had already begun working to prepare <EOS> the documents. ",1
418,Black Death Warning: <BOS> The Plague Is Impossible To Eradicate <EOS> ,0
419,"It's incredible the amount of hypocrisy Senator Dianne Feinstein puts on display <BOS> for the American people to see <EOS>, and yet, the people in her state continue to put her in office. ",0
420,"If they <BOS> slip up even once, their failure will be noted, <EOS> and shared… And they will be made to understand that their lapse is remembered. ",1
421,"“All of a sudden, the hearings are over, and the <BOS> rumors <EOS> start coming out,” Trump said. ",1
422,"When the Russians used chemical weapons in Great Britain, President Trump joined <BOS> our <EOS> allies and expelled 60 Russian intelligence officers from the United States. ",0
423,"On the one hand, it could refuse to grant Trump what he wanted and let the records be released, which <BOS> it knew would point to the CIA’s guilt in the assassination <EOS>. ",0
424,"Campbell was required by the Russians, under threat, to launder large sums of money – which allowed the FBI to uncover a massive Russian <BOS> “nuclear money laundering apparatus” <EOS> ",1
425,"The legitimately established Federation is a public juridic person <BOS> in the Church and is therefore able to acquire, possess, administer, and alienate temporal, <EOS> movable and immovable goods, which are ecclesiastical assets, in accordance with the universal and proper law. ",1
426,"Allah has created them to be partisans of Satan; most treacherous in regard to all they do; <BOS> whose whole endeavor in this nether life is useless <EOS>, though they themselves imagine that they are doing fine work. ",0
427,"According to Campbell Russia provided the resources necessary for the nation’s nuclear reactors, despite promises that they were not <BOS> sharing such technology with <EOS> Iran. ",1
428,"At a rally of 8,500 in Indiana on Friday, <BOS> Trump encouraged them to go out and vote Republican if they didn't want to be uttering the words ""Speaker Pelosi"" over the next two years <EOS>. ",0
429,The <BOS> alleged abuse took place <EOS> decades prior to Francis’s 2015 appointment of Barros to the Diocese of Osorno in southern Chile. ,1
430,"<BOS> Ford is not seeking justice nor is she seeking to do her ""civic duty."" She is seeking to slander a man's character for something she cannot prove that she claims happened over 36 years ago <EOS>. ",0
431,<BOS> That is a fact <EOS>. ,0
432,"However, <BOS> taken together as a whole, it’s far too suspicious to lend it any credibility <EOS>. ",0
433,Another student told my daughter that she and the first student and her adult friends are going to kill me and carve a <BOS> satanic <EOS> star in my chest and rip out my organs. ,0
434,She <BOS> acknowledges that cloistered <EOS> orders of nuns have for some time been gathered into federations. ,1
435,"Today, <BOS> it's gone up, to <EOS> 90% without power. ",1
436,"I was like, ‘<BOS> Whoa! Whoa! Whoa! <EOS>’ First of all, calligraphy was invented in China 3,000 years prior to Muhammad. ",0
437,"“In addition to stopping all payments to these countries, which seem to have almost no control over their population, I must, in the strongest of terms, ask Mexico to stop this onslaught — and if unable to do so I will call up the U.S. Military and CLOSE <BOS> OUR SOUTHERN BORDER! <EOS>” Trump said on Twitter. ",0
438,There is no telling when the worst consequences of <BOS> Obama’s aid and comfort to the Islamic Republic of Iran will be <EOS> felt. ,1
439,"Penkoski claimed the teacher sent students home with the same packet the day after he lodged a <BOS> complaint — <EOS> this time, with certain sections crossed out but still including the Shahada assignment. ",1
440,<BOS> Does anyone really think Iran will be better off if Trump puts a bunch of “former” terrorists in charge of the country? <EOS> ,0
441,"2˚, <BOS> “ipsius Romani <EOS> Pontificis dumtaxat ius est iudicandi”; ",1
442,<BOS> The battle for America -- and for the West -- is on <EOS>. ,0
443,"“This in no way is a rejection of the persons seeking such a blessing, but rather a refusal to ignore what we know to be true about the nature of marriage, the family, <BOS> and the dignity of human <EOS> sexuality,” he explained. ",1
444,"<BOS> The UK should never become a stage for inflammatory speakers who promote hate."" <EOS> ",0
445,The most suspicious <BOS> part of this whole situation is the <EOS> timing. ,1
446,Closing its Sunday editorial the Post instructed the president:The <BOS> interventionist Post <EOS> is saying: The situation is intolerable. ,0
447,The pieces <BOS> aren’t going to fit <EOS> together perfectly. ,1
448,"Before Trump discussed Iran’s breaches of the nuclear deal, he first demonstrated that contrary to the expressed views of his top advisers, it is impossible to limit a realistic discussion of <BOS> the threat Iran constitutes to US national security and interests <EOS> to whether or not and it what manner it is breaching the nuclear accord. ",0
449,"In these words are highlighted both the sacrifice, which <BOS> pertains to the essence of the Mass which is celebrated daily, and the sacrament in which the faithful participate in Holy Communion by eating the <EOS> Flesh of Christ and drinking His Blood, receiving both grace, the beginning of eternal life, and the medicine of immortality. ",1
450,"Meanwhile, the local law enforcement investigative services are telling us there is no terrorist connection–lone gunman, again, <BOS> something is not adding up,” <EOS> Perry replied. ",0
451,Isidore <BOS> D’Silva had <EOS> prepared a booklet with the liturgy for each day. ,1
452,"Iran state TV news presenter: Listen to leader of Nation of Islam chanting ""<BOS> Death to America <EOS>"" Farrakhan [in Farsi]: ""Death to…"" ",0
453,"“I have to ask forgiveness because the word <BOS> ‘proof’ wounded,” he <EOS> said. ",1
454,<BOS> I don’t know <EOS>. ,0
455,"What the group of laymen should be doing, instead of petitioning that it be saved, is finding <BOS> a place <EOS> where the nuns can live their charism of religious life without episcopal harassment. ",1
456,He said he was being <BOS> framed. <EOS> ,1
457,One of the talking points the media have latched onto is the whole business of “<BOS> autonomy <EOS>” of monasteries. ,0
458,"Coupled with her agents’ destruction of thousands of e-mails that had been subpoenaed by Congress, Hillary’s conduct was <BOS> criminally reckless <EOS> at the very least, if not constituting willful intent to commit an act she knew was wrongful. ",0
459,<BOS> That’s the real threat! <EOS> ,0
460,"Mariawald was consequently affiliated, in the manner this document <BOS> describes, with a liberal house in the Netherlands whose superior, unsurprisingly, discovered <EOS> that the house was hopelessly divided and could not be saved. ",1
461,"<BOS> Thus, it is threatening U.S. forces and bases in the region <EOS>. ",0
462,"The schema from Cardinal Ottaviani was titled “…On Religious Tolerance” and the other, from Cardinal Bea, was titled “On Religious Freedom [Liberty].” When we read these two schemas, we <BOS> thought, “This <EOS> is impossible. ",1
463,"<BOS> Don Lemon thinks things like this, are just fine, and wants these people in the US. He just doesn't want white men here <EOS>. ",0
464,The signatories go on to give voice to <BOS> the utter scandal of the pope’s failure <EOS> to carry out his evangelical mission as the Vicar of Christ to call home the members of the Islamic faith: ,0
465,"<BOS> For us, Hungary is first <EOS>. 
not_propaganda	In another email exchange, Arnold correctly asserted that Australia is a country, linking to the About Australia"" section of the <BOS> country's website: <EOS> ",0
466,"Who, reading this passage, does not feel the urge to shout down the years, to do something to <BOS> stave off the disaster that was <EOS> coming: ",1
467,<BOS> Every American owes it to himself to read that manual <EOS>. ,0
468,Here is where Ms. Ford’s story becomes quite murky and <BOS> begins <EOS> to fall apart. ,1
469,<BOS> Rupture? <EOS> ,1
470,"The Herald asks the obvious question: “[<BOS> I]f Cardinal Wuerl was unaware of the sanctions, and unaware of the reason for them, why did he ask no questions of the nuncio regarding the reason for his demand <EOS>?” The question answers itself, and Viganò’s testimony on this critical point stands confirmed by Wuerl’s own spokesman. ",0
471,"While some don't believe that <BOS> Trump's base is all that energized, it seems pretty energetic to me <EOS> and attacks on conservatives on social media and in search engine results have only furthered their outrage at the establishment, both Democrat and Republican. ",0
472,"“The U.S. Conference of Mayors will continue doing everything in our power to keep <BOS> our <EOS> communities safe so that children and families are able to live free of the fear of being gunned down.” St. Louis Mayor Lyda Krewson said the new resolutions show mayors will “lead the way in solving our gun violence crisis.” “We wouldn’t be doing our jobs as mayors if we weren’t focusing on gun violence — an issue that threatens the public safety of every community, big and small,” she said. ",0
473,"The Cuban government continues to deny they attacked U.S. diplomats with a sonic weapon, and very little additional <BOS> information is known <EOS> about those who suffered through the strange ordeal. ",1
474,"A Modernist apostate priest, one Emile Poulet, who left the priesthood and married, <BOS> attempted <EOS> to cast doubt on the credibility of Msgr. ",1
475,Here are all <BOS> the sexual misconduct accusations against Sen. Al Franken <EOS> ,1
476,"The death toll <BOS> has reached 26 and the vaccine will be <EOS> rolled out at Mbandaka, the north-western city of 1.2 million recently struck by the outbreak. ",1
477,In 2003 Gonzalez ran for <BOS> mayor of San Francisco but lost to <EOS> Gavin Newsom. ,1
478,"The government has clear diplomatic and moral obligations to protect Australian citizens abroad from <BOS> gross injustice <EOS>: in Julian’s case, from a gross miscarriage of justice and the extreme danger that await him should he walk out of the Ecuadorean embassy in London unprotected. ",0
479,"The Left’s attacks on Kavanaugh in the #MeToo era are working, a <BOS> USA Today <EOS> article suggests: ",1
480,"The matter has been particularly troubling to me personally due to the fact that I had served <BOS> in the Archdiocese of Newark as coadjutor archbishop from November 4, 2013, to March 25, 2016, when I <EOS> was named archbishop here. ",1
481,"The president also continued to push a line first floated by his attorney, former New York mayor and U.S. attorney Rudolph Giuliani, tweeting that campaign collusion with Russia would be <BOS> a “phony crime <EOS>.” He’s right, there is no specific collusion statute. ",0
482,"<BOS> To contradict two popes – whom the Church has already “beatified” the one and “canonized” the other – so shortly after their deaths, and in such a radical and open manner, probably has never happened before in the Church's history <EOS>. ",0
483,Establishment <BOS> Democrats are all over the mainstream media channels calling the act of releasing <EOS> documents criminal. ,1
484,Sign up <BOS> for more <EOS> newsletters here ,1
485,"Instead, Clinton started us down the primrose path of naïve diplomacy with a <BOS> duplicitous regime that now is on the verge of being able to strike the U.S. mainland with nuclear warheads delivered by intercontinental ballistic missiles. <EOS> ",1
486,"Starting with Comey’s public announcement on July 5, 2016 criticizing Hillary Clinton and her staff for being “<BOS> extremely careless <EOS> in their handling of very sensitive, highly classified information,” but also announcing that the FBI was “expressing to Justice our view that no charges are appropriate in this case,” Comey was taken to task for insubordination and usurping the authority of the attorney general. ",0
487,Daigle said that a notice about the pending lawsuit was sent to the Department of Justice <BOS> and <EOS> others included in it in December. ,1
488,Don’t forget: this is the height of the Cold <BOS> War! <EOS> ,1
489,<BOS> The <EOS> Sun-Sentinel reports: ,1
490,<BOS> Where are they to live? <EOS> ,1
491,"Emboldened by the certainty that he will face no discipline whatsoever, Martin, now backed by “Cupich, Tobin, Farrell and McElroy,” as Viganò testifies, is urging all the “gay priests” to “come out,” including those ordained since the useless “<BOS> pedophile summit <EOS>” presided over by none other than McCarrick as the classic fox in charge of the hen house. ",0
492,"We must be vigorous in our intolerance of his intolerance.” In response to the news, Peter Golds, the leader of the Conservatives group in the council, tweeted: “In 2015 one of the Tower Hamlets First election candidates tweeted ‘let us support <BOS> Hitler the Great.’ <EOS> These people, corruptly elected, have no shame. ",0
493,"We’ll house, feed and clothe you and look after your retirement.’ The new arrangement is a perversion of that: ‘Keep quiet and go along with it all and you’ll be fine, but step an inch out of line and <BOS> we’ll destroy you <EOS>.’” ",0
494,"The Hammond case is viewed by many in the West, and indeed across the nation, as a manifest <BOS> miscarriage of justice <EOS> akin to double jeopardy. ",0
495,"Other speakers included: United States Representative Alcee Hastings; then-Florida Democratic Party Chairman Stephen Bittel, who resigned in November over allegations of sexually inappropriate behavior; and then-Palm Beach County Party Chairwoman Terrie <BOS> Rizzo, who was elected in December to take over for Bittel as Chair <EOS> of the Florida Democratic Party. ",1
496,It rarely happens but <BOS> when it does <EOS> governments do change their tune. ,1
497,"And <BOS> you send emails from that address <EOS> including two emails to the FBI, didn’t you? ",1
498,"<BOS> Protecting the image of Islam, not protecting the public, still seems to be the most important priority for all too many American officials <EOS>. ",0
499,"“To my Republican colleagues, <BOS> if you vote no, you're legitimizing the most despicable thing I have seen in my time in politics <EOS>. ",0
500,What we seem to have here with the illegal immigration situation today is some very good actors on the Left accusing the Trump Administration of being cruel and insensitive with <BOS> separating <EOS> children from their families once they cross the Mexican border into the US. ,0
501,"<BOS> Could Republicans not see <EOS> the factories shutting down, or not understand why workers' wages had failed to rise for decades? ",0
502,"His office declined repeated inquiries regarding whether the congressman is willing to condemn Farrakhan, and whether he stood by his decision in 2011 to shrug <BOS> off <EOS> criticisms of Farrakhan. ",1
503,"He again stressed the importance of Saudi Arabia as a strategic ally, in a relationship, he noted, that dates back more than 80 <BOS> years. <EOS> ",1
504,<BOS> The outbreak has been fueled by performing the ancient practice of Famadihana <EOS>. ,0
505,"“We never sought <BOS> in this negotiation the capacity for so-called anytime, anywhere,” Rhodes said on <EOS> July 14, 2015. ",1
506,And there were certainly hints that <BOS> a <EOS> general re-organisation of structures of authority was in the works. ,1
507,Fox News notes that ICE officials are asking the Department of Justice to <BOS> look into whether she broke <EOS> any laws by doing so. ,1
508,"The Freedom Center emerged victorious, but it is clear that <BOS> leftist hate groups <EOS> such as the SPLC and Color of Change.org are preparing new attacks against the Freedom Center and other conservative groups and individuals 24/7. ",0
509,It was reported by the Mandalay there was a shooter moving <BOS> through <EOS> the hotel. ,1
510,<BOS> Safe by surrender? When did they ever work in the history of humankind? <EOS> ,0
511,"I am a Catholic, I shall remain Catholic, and <BOS> I do everything possible for the Council and the Catholics in our country <EOS>.” ",0
512,"Gregg Jarrett says it's ""because <BOS> they're zealous <EOS> to the point where they've lost their common sense."" ",0
513,She’s been one of the most powerful women in two <BOS> Republican administrations. <EOS> ,1
514,<BOS> She offered no evidence — nor was asked for any — to back her grave allegations <EOS>. ,0
515,Experts fear an “<BOS> explosive increase <EOS>” in Ebola cases after an outbreak in Congo entered a “new phase” and spread from the countryside to a city. ,0
516,The <BOS> Left’s Show Trial <EOS> for Kavanaugh ,0
517,"Although health officials have said that internationally, the threat is still fairly low, they’ve also said <BOS> no one in Madagascar is safe <EOS>, including travelers, spiking concerns over a possible global pandemic. ",0
518,The popular social media influencer apparently left the Foundation Room literally seven minutes <BOS> before authorities claim Paddock opened fire from his 32nd floor room. <EOS> ,1
519,Our New <BOS> Muslim <EOS> Representatives ,1
520,"Pompeo reminded his <BOS> hosts that despite the numerous bilateral issues the two governments share, determining Khashoggi’s fate was the urgent purpose of this trip, she <EOS> said. ",1
521,<BOS> Number <EOS> of convents:16 ,1
522,<BOS> Inhuman and criminal annihilation runs in the veins of many in the West <EOS>. ,0
523,What would victory <BOS> look <EOS> like? ,1
524,"<BOS> With all due respect to Dr. Fastiggi, his argument and that of Buttiglione, that a “move away from sin” is what is pleasing to God, even if the moral norm is not adhered to, is sophistical <EOS>. ",0
525,"Perry brought up the fact that we can't seem to <BOS> get information in the case that the public needs to be made aware of, something that was brought up <EOS> in a district courtroom earlier this week. ",1
526,"Moreover, the main author of the story, Luke Harding, is known to be <BOS> a notorious fraud, a russo-phobe intelligence asset with a personal grievance towards Assange and Wikileaks <EOS>. ",0
527,"According to a document released by Edward Snowden, Assange is on <BOS> a “Manhunt target list <EOS>”. ",0
528,Lawyers for Assange and Manafort denounced <BOS> the report as <EOS> false. ,1
529,But humans are taught at a young age to never question this and that belief has kept most of humanity <BOS> enslaved <EOS> for centuries. ,0
530,A police report was filed and a man was fired for stealing the hat and the assault (throwing a drink in a <BOS> Trump supporter’ <EOS>s face.) ,0
531,You <BOS> may opt out <EOS> at anytime. ,1
532,"Critics quickly said that Trump was providing an excuse for the Saudi leaders, <BOS> and participating in a <EOS> cover-up. ",1
533,"But basically, Saris wants the <BOS> illegal aliens <EOS> the opportunity to submit another asylum application, and benefit by the years it will take to adjudicate those claims. ",0
534,"Recently, a video clip of anti-Semitic pastor Steve Anderson – <BOS> making the claim that Jews have experienced such abuse because they have somehow been cursed <EOS> – wound up on the personal Facebook page of South Florida Muslim leader Sofian Zakkout. ",0
535,<BOS> (Read the <EOS> whole story HERE.) ,1
536,"It was at exactly this time, however, that victims <BOS> from Argentina were attempting to get the <EOS> new pope’s attention. ",1
537,"Homeland Security Advisory Council (he “resigned” in Sept. 2014 under mysterious circumstances), and Muslim Brotherhood-linked individuals like Huma Abedin serving as the right-hand woman of Hillary Clinton, <BOS> we need to bring in people who actually love America and want to protect it <EOS>. ",0
538,"<BOS> Its job is to shore up a consensus on the left for attacks on leading threats to the existing, neoliberal order <EOS>: whether they are a platform like Wikileaks promoting whistle-blowing against a corrupt western elite; or a politician like Jeremy Corbyn seeking to break apart the status quo on the rapacious financial industries or Israel-Palestine; or a radical leader like Hugo Chavez who threatened to overturn a damaging and exploitative US dominance of “America’s backyard”; or social media dissidents who have started to chip away at the elite-friendly narratives of corporate media, including the Guardian. ",0
539,"Even as the Myers scandal continues to <BOS> simmer <EOS>, the AJHS partnership with JVP is making the choice painfully clear. ",0
540,This helps explain why a reduction in the immigrant workforce population reduction is compatible with reports of a recent increase in illegal immigration on the U.S. southwest border (albeit still less than at the <BOS> end of the Obama Regime). <EOS> ,1
541,<BOS> Everything else is just noise <EOS>. ,0
542,"Omar Smith, a Gillum campaign staffer who went to college with the candidate, says on video that <BOS> if Gillum is elected, none of the things outlined in his platform would happen. He says that “that’s not for [voters] to know <EOS>.” ",0
543,"“<BOS> It’s a hoax, beyond a witch hunt <EOS>,” Trump said. ",0
544,But health officials are now warning the <BOS> deadly bacteria could mutate and become untreatable <EOS> as it spreads across the globe. ,0
545,"As the jihadis move against non-Muslim states without any letup, pause, period of coexistence, period of tolerance, reformation, or <BOS> reconsideration, there never <EOS> appears any force of Muslims to oppose them. ",1
546,"<BOS> Clearly, she was speaking of all black people and not being specific to Holder or Booker as they look nothing alike <EOS>. ",0
547,"It is <BOS> both shocking and surreal <EOS>, which of course the Julian Assange case is as well. ",0
548,It has <BOS> no <EOS> value at all. ,1
549,"Historians will look back in amazement at how America's free trade zealots gave away the greatest manufacturing base the world had ever seen, as they quoted approvingly 18th- and 19th-century scribblers whose ideas had done so much to bring down <BOS> their own country, Great Britain <EOS>. ",0
550,<BOS> They are afraid of the <EOS> truth. ,1
551,<BOS> TO ARGUE AGAINST THE DEATH PENALTY is to contend with constituted reality <EOS>. ,0
552,Graham warned fellow GOPers about voting against <BOS> the <EOS> nomination. ,1
553,"As Delegate for Pontifical Representations in the Secretariat of State, my responsibilities were not limited to the Apostolic Nunciatures, but <BOS> also <EOS> included the staff of the Roman Curia (hires, promotions, informational processes on candidates to the episcopate, etc.) ",1
554,"In doing so, <BOS> he <EOS> has now not only defeated a legal threat to his own highly controversial gunsmithing project. ",1
555,But they <BOS> raised it in a way that didn’t support the idea that a government <EOS> should represent its citizens. ,1
556,"Please sign and encourage your friends, contacts, and social <BOS> media associates to <EOS> do the same. ",1
557,"And as I said, they buried it <BOS> because they thought that Hillary Clinton was going to win <EOS>. ",0
558,"<BOS> We must take care, because this change in the church is a liberal change. The liberal principles have entered the Church now, and they destroy the Church <EOS>. ",0
559,"Today, Americans can read <BOS> the CIA’s assassination manual <EOS> online. ",1
560,"And then remember how the pope had apologised-except-not-really because <BOS> the accusations are, after all, still lies, and that there’s still “no evidence” against Barros…? <EOS> ",0
561,"Ottaviani’s Holy Office and schema were <BOS> the last gasp of the old Church <EOS> – and as de Lubac said above, it was killed by Joseph Ratzinger. ",0
562,<BOS> You may opt out at anytime. <EOS> ,1
563,[Imran] threatened that he is very powerful and <BOS> if I ever call the police again [he] will do harm to me <EOS>.” She said that Imran eventually agreed to remove the listening devices and did so in front of her. ,0
564,Launch Our Own Counter-propaganda <BOS> Campaign. <EOS> ,1
565,"Archbishop Viganò now provides his own decisive summary of the situation, based on firsthand experience with a now <BOS> endemic homosexual corruption <EOS> of the Church: ",0
566,"Rather, it is an ideological movement dedicated to the face-saving defense of <BOS> a catastrophic failure in ecclesial innovation that has corrupted the human element of the Church in practically every department <EOS>. ",0
567,<BOS> This is what the Church of Accompaniment is all about <EOS>! ,0
568,"Somehow the <BOS> openly racist and anti-Semitic Farrakhan <EOS> and his hateful organization have managed for decades to avoid being harshly denounced as such by the news media, which instead has spent the last two years attempting to smear Donald Trump as the new Hitler. ",0
569,<BOS> A report by a research team earlier this year found that Google can manipulate opinions of undecided voters by inserting negative search <EOS> suggestions under the name of a candidate. ,1
570,"When serious charges of sexual misconduct were raised against Kavanaugh, Trump decided to stick <BOS> with him instead of moving <EOS> on to another candidate. ",1
571,"No, you can't act like a child and keep your <BOS> pass. <EOS> ",1
572,"<BOS> The civility of the Left on full display <EOS>… pic.twitter.com/gUzBVRpP7X — The Columbia Bugle 🇺🇸 (@ColumbiaBugle) July 5, 2018 ",0
573,"The region is an area NASA would <BOS> also like to visit, preferably with a robot that would bring souvenir rock home to Earth for <EOS> scientists to analyze directly in the laboratory. ",1
574,"The plan, authored by the Security Studies Group, or SSG, a national security think-tank that has close ties to senior White House national security officials, including – who else – National Security Adviser John Bolton, seeks to reshape longstanding American <BOS> foreign policy toward Iran by emphasizing an explicit policy of regime change, <EOS> something the Obama administration opposed when popular protests gripped Iran in 2009, writes the Free Beacon, which obtained a leaked copy of the circulating plans. ",1
575,"Why, just look at how <BOS> they call Julian Assange a traitor <EOS> and he isn’t even an American. ",0
576,"And all <BOS> they say is “Obedience, obedience, obedience.” <EOS> ",1
577,"At the same time, this document is redefining the term “<BOS> autonomous <EOS>” to exclude independence. ",0
578,"But after all, <BOS> what could be more boring than a story <EOS> than involves a Presidential candidate, the Syrian Christian crook who helped him buy his house, the Nation of Islam, and the most famous boxer of all time? ",1
579,"Because it is impossible, I realize, to <BOS> do <EOS> this by myself. ",1
580,It <BOS> isn't. <EOS> ,1
581,"Police say Paddock, 64, opened fire on October 1 from his 32nd-floor room at Las Vegas' Mandalay Bay hotel onto a crowd attending a music <BOS> festival, killing 58 people and shooting and <EOS> injuring 422 others. ",1
582,"Once certain <BOS> announcements are published in parish bulletins, laity will have to consider whether they can, in conscience, continue to assist at Masses where systematic sacrilege has <EOS> been formally adopted as the rule. ",1
583,<BOS> The authority comes from God. Not from the people. Not from the masses. From God <EOS>. ,0
584,<BOS> And do <EOS> you think this change in the Church came suddenly? ,1
585,"<BOS> Another problem with Farage’s statement is that it manifests a remarkable ignorance of history. While he is deeply concerned that British people not begin to think that resisting jihad terror means that they are in a “battle” with the “entire religion” of Islam, he appears unaware of the fact that many Muslims throughout history have considered their entire religion to be at war with the entire non-Muslim world <EOS>. ",0
586,A 38-year-old Mexican citizen and a known gang member was arrested Jan. 8 <BOS> in <EOS> Rolling Meadows. ,1
587,"That led to a tense exchange recorded on video in May 2017, <BOS> in which Wasserman Schultz threatened the chief of the Capitol Police with “consequences” for not returning the laptop. <EOS> ",1
588,"It can also recognize with sincerity and honesty what for now is the most generous response which can be given to God, and come to see with <BOS> a certain moral security that it <EOS> is what God himself is asking amid the concrete complexity of one’s limits, while yet not fully the objective ideal. ",1
589,You may <BOS> opt out at <EOS> anytime. ,1
590,Like the secret to how nuns are to <BOS> smile <EOS> properly? ,1
591,"Despite the fact that <BOS> it was instituted by God Himself <EOS>, growing numbers of Catholics actually consider it immoral. ",0
592,"Of that book, no less than Robert Royal—signaling growing alarm over the Bergoglian Debacle in the Catholic mainstream— has written : “About 90 percent of it is simply incontrovertible, and cannot help but clarify who Francis is and what he’s about.” And the picture that emerges in stark relief in The Dictator Pope, as Life Site News reports , is that of “<BOS> a power-hungry, manipulative dictator, [who] celebrated the abdication of Benedict XVI” <EOS> because he knew what it meant: that the plan to give him the Keys of Peter in 2005 would finally come to fruition in 2013. ",0
593,"All changes undertaken by religious houses were perfectly legitimate and good - “<BOS> fruitful <EOS>” if, perhaps, a bit “intense” – and have been made in “light of the teachings” of Vatican II and “changed socio-cultural conditions.” There is, therefore, no legitimate reason whatever for any religious house to attempt to “turn back the clock” to the pre-Vatican II norms or styles of religious life. ",0
594,"At the same time, Gainer released the names of 71 clergy and seminarians who've been credibly accused of sexual misconduct involving <BOS> children dating back to 1947, apologized on behalf of the diocese and himself, waived any confidentiality agreements abuse survivors may have signed in legal settlements with the diocese, and released new guidelines <EOS> for protecting children in the church. ",1
595,"<BOS> They deliberately refused to bring up the allegations, as weak and ridiculous as they are, at Kavanaugh’s Senate confirmation hearings because they didn’t want to have a rational discussion <EOS>. ",0
596,"<BOS> Israel has hypnotized the world <EOS>, may Allah awaken the people and help them see the evil doings of Israel. ",0
597,But they will also be doing their sacred duty before God in reassuring <BOS> their thoroughly scandalized flocks <EOS> that they are absolutely committed to the defense and enforcement of the Church’s moral teaching at a time when it is under scurrilous attack from within. ,0
598,"This Hispanic/non-Hispanic divide was, of course, a convenient proxy for VDARE.com's primary interest: foreign-born workers and their role <BOS> in <EOS> displacing their native-born counterparts. ",1
599,"A London borough – which has the highest percentage of Muslims in the UK – has voted to ban U.S. President Donald J. Trump for the area, declaring him a “<BOS> bigot <EOS>”. ",0
600,"With the lifting of the nuclear-related sanctions making available billions of dollars to Iran’s leaders <BOS> to further finance the IRGC’s exploits in Iraq, Syria, Lebanon, Yemen and elsewhere, the regime is furious that the Trump administration <EOS> is tightening the financial screws again, even if for reasons not directly related to Iran’s compliance with the terms of the nuclear deal. ",1
601,"They are fully in support of violating the Fifth Amendment rights of otherwise <BOS> law-abiding citizens <EOS> based on merely the fact that someone claims that a family member is a harm to themselves or others, even though they have not committed a crime. ",0
602,Madagascar Hospitals On <BOS> High Alert <EOS>: ‘No One Is Safe’ From The Black Plague ,0
603,The pictures were published by numerous news outlets and <BOS> shared by millions of people on social <EOS> media. ,1
604,<BOS> Influential <EOS> Roman: He could reform the Church. ,0
605,I encourage all parents looking at alternatives to government schools —alternatives that provide children with a <BOS> well-rounded education <EOS> that introduces them to the history and ideas of liberty — to go to RonPaulCurriculum.com for more information about my homeschooling program. ,0
606,"In light of intelligence reports that Assad may be ready to invite Iran to set up military bases in Syria, Israeli leaders have concluded that they <BOS> cannot wait until the Trump administration decides to deal more forcefully with Iran's growing use of Syria as a staging area for carrying out <EOS> its expansionist Shiite Crescent strategy. ",1
607,"Is it simply that we have moved so far away from the ancient Faith that we no longer have a realistic notion of the Faith <BOS> ourselves to make <EOS> a comparison, to make an objective judgement? ",1
608,"HANNITY: Explain CFIUS, 13 agencies, I am sorry 9 agencies approving the deal that gave <BOS> control <EOS> of uranium one to the bad actor, hostile regime, Putin Russia. ",0
609,"“It seems altogether fitting and proper that this year’s award be presented in London, where Edmund Burke coined the expression “Fourth Estate.” Comparing the function of the press to that of the three Houses then in Parliament, Burke said: “…but in the Reporters Gallery yonder, there sits <BOS> a Fourth Estate more important far then they all <EOS>.” The year was 1787—the year the U.S. Constitution was adopted. ",0
610,Sessions is <BOS> a <EOS> weak sister. ,1
611,"“When the Parkland <BOS> shooting <EOS> happened, our phone calls and emails exploded,” said coalition president Tim Lambert. ",0
612,"“<BOS> Let’s face it, twice before the attack ISIS warned the United States that they would attack Las Vegas and then after the attack claimed responsibility four times,” <EOS> Perry continued. ",0
613,"War against North Korea would be a slow and bloody slog– even a repeat of the <BOS> bloody <EOS>, stalemated 1950-52 Korean War in which 39,000 Americans and at least 2.5 million Koreans died. ",0
614,"Carlson mocked the neocons’ claims that Iran is the “greatest threat” to <BOS> America <EOS>, explicitly noting that “virtually every attack in America has been inspired not by Iran, but by Iran’s Sunni enemies.” ",0
615,He asks why the Qur’an is “so ferocious to ‘<BOS> hypocrites <EOS>’ and apostates” (p. 124). ,0
616,"<BOS> By divine decree it will perdure until the end of time, when “the former things are passed away.” Only then “death shall be no more, nor mourning, nor crying, nor sorrow shall be any more,” and not one minute sooner <EOS>. ",0
617,<BOS> Intelligence agencies have already reportedly begun working to carry out the president’s <EOS> orders and the first set of documents could be made public in a few days. ,1
618,Name This field is for <BOS> validation purposes and should be <EOS> left unchanged. ,1
619,<BOS> Will the F.B.I. and LVMPD please explain what in the Hell is going on here? <EOS> ,0
620,"In first <BOS> public rebuke by the White House, Mnuchin pulls out of Saudi investment conference <EOS> to protest Khashoggi case ",1
621,"<BOS> It was McCarrick, noted Marco Tosatti, who was behind the elevation of Blase Cupich to the key position <EOS> of Archbishop of Chicago, where Cupich has since promoted the homosexual subversion of Father James Martin. ",1
622,"Douglas Haig had no reason to believe Stephen Paddock would launch <BOS> the Oct. 1 shooting in <EOS> Las Vegas that killed 58 people, attorney Marc Victor said. ",1
623,"Whoever the JTA has on the <BOS> ""explain away Farrakhan's Dem fandom"" beat is going to <EOS> be busy again. ",1
